date,median_house,gold_price,dow_open,gdp,fed_rate,13_wk,5_yr,10_yr,30_yr,unemployment,gas_price,earnings_chg,cpi,inflation,cars_sold,housing_starts,recession
Aug-93,126600.00,379.795,3516.10,2.30,3.07,3.07,5.20,5.85,6.56,6.80,1.16,154.00,144.8,0.28,13.58,1300.00,N
Sep-93,129400.00,355.561,3539.50,2.30,3.25,3.01,4.81,5.46,6.09,6.70,1.15,241.00,145.1,0.21,13.99,1343.00,N
Oct-93,125000.00,364.005,3651.30,2.60,3.19,2.92,4.72,5.34,5.98,6.80,1.19,285.00,145.7,0.41,14.91,1392.00,N
Nov-93,130000.00,373.939,3555.10,2.60,3.15,3.05,4.96,5.56,6.02,6.60,1.18,253.00,145.8,0.07,14.88,1376.00,N
Dec-93,125000.00,383.243,3680.60,2.60,3.07,3.14,5.16,5.81,6.30,6.50,1.14,329.00,145.8,0.00,15.00,1533.00,N
Jan-94,126000.00,387.11,3684.00,3.40,2.85,3.01,5.20,5.80,6.35,6.60,1.11,282.00,146.2,0.27,15.38,1272.00,N
Feb-94,129900.00,381.658,3754.10,3.40,3.25,3.02,5.05,5.65,6.23,6.60,1.11,184.00,146.7,0.34,15.52,1337.00,N
Mar-94,132300.00,384,3978.40,3.40,3.31,3.39,5.61,6.17,6.69,6.50,1.11,463.00,147.2,0.34,15.30,1564.00,N
Apr-94,129000.00,377.908,3832.00,4.20,3.64,3.61,6.40,6.91,7.24,6.40,1.13,344.00,147.4,0.14,16.01,1465.00,N
May-94,129900.00,381.343,3633.10,4.20,3.73,3.85,6.64,7.05,7.31,6.10,1.14,336.00,147.5,0.07,14.58,1526.00,N
Jun-94,133500.00,385.714,3681.70,4.20,4.33,4.21,6.80,7.18,7.46,6.10,1.17,314.00,148,0.34,15.11,1409.00,N
Jul-94,124400.00,385.45,3758.40,4.30,3.82,4.13,6.92,7.29,7.59,6.10,1.20,371.00,148.4,0.27,14.88,1439.00,N
Aug-94,133300.00,380.207,3625.00,4.30,4.34,4.28,6.79,7.18,7.40,6.00,1.24,289.00,149,0.40,15.36,1450.00,N
Sep-94,129700.00,391.348,3764.50,4.30,4.76,4.55,6.80,7.17,7.45,5.90,1.24,349.00,149.4,0.27,15.27,1474.00,N
Oct-94,132000.00,390.164,3913.40,4.10,5.44,4.65,7.29,7.60,7.83,5.80,1.21,213.00,149.5,0.07,15.89,1450.00,N
Nov-94,129900.00,384.377,3843.20,4.10,4.76,5.06,7.52,7.83,7.99,5.60,1.22,412.00,149.7,0.13,15.89,1511.00,N
Dec-94,135000.00,379.48,3908.10,4.10,5.49,5.57,7.77,7.88,7.99,5.50,1.20,295.00,149.7,0.00,15.58,1455.00,N
