Date,Open,High,Low,Close,Volume
10/31/12,13437.66,13661.87,13039.86,13096.46,2474356528
11/30/12,13099.19,13290.75,12471.49,13025.58,2685636776
12/31/12,13027.73,13365.86,12883.89,13104.14,2666976408
1/31/13,13104.3,13969.99,13104.3,13860.58,2787270128
2/28/13,13860.58,14149.15,13784.01,14054.49,2490243880
3/31/13,14054.49,14585.1,13937.6,14578.54,2546588736
4/30/13,14578.54,14887.51,14434.43,14839.8,2921359544
5/31/13,14839.8,15542.4,14687.05,15115.57,2773132432
6/30/13,15123.55,15340.09,14551.27,14909.6,2929583760
7/31/13,14911.6,15634.32,14858.93,15499.54,2574668888
8/31/13,15503.85,15658.43,14760.41,14810.31,2332090866
9/30/13,14801.55,15709.58,14777.48,15129.67,2371713232
10/31/13,15132.49,15721,14719.43,15545.75,2207766048
